ID,Species
425,Rostanga pulchra
426,Archidoris montereyensis
427,Archidoris odhneri
428,Triopha catalinae
429,Hermissenda crassicornis
430,Aeolidia papillosa
431,Onchidella
432,Leptochiton rugatus
433,Mopalia
434,Cryptochiton stelleri
435,Entodesma
436,Prostigmata
437,Harpacticidae
438,Chthamalus dalli
439,Balanus glandula
440,Semibalanus balanoides
441,Semibalanus cariosus
442,Limnoria
443,Mimulus
444,Pugettia
445,Scyra
446,Mastocarpus
447,Mazzaella
448,Neorhodomela
449,Chlorophyta Crust
450,Gavia
451,Podiceps
452,Diomedeidae
453,Fulmarus glacialis
454,Puffinus tenuirostris
455,Oceanodroma
456,Phalacrocorax auritus
457,Phalacrocorax pelagicus
458,Cygnus columbianus
459,Branta canadensis
460,Branta bernicla
461,Chen canagica
462,Anas
463,Aythya marila
464,Bucephala
465,Clangula hyemalis
466,Histrionicus histrionicus
467,Polysticta stelleri
468,Somateria mollissima
469,Somateria spectabilis
470,Melanitta fusca
471,Melanitta perspicillata
472,Melanitta nigra
473,Mergus
474,Buteo lagopus
475,Aquila chrysaetos
476,Haliaeetus leucocephalus
477,Falco rusticolus
478,Falco peregrinus
479,Grus canadensis
480,Haematopus bachmani
481,Charadrius semipalmatus
482,Tringa melanoleuca
483,Tringa incana
484,Calidris
485,Limosa lapponica
486,Gallinago
487,Phalaropus lobatus
488,Stercorarius parasiticus
489,Larus hyperboreus
490,Larus glaucescens
491,Larus argentatus
492,Larus canus
493,Rissa tridactyla
494,Sterna
495,Uria aalge
496,Uria lomvia
497,Cepphus columba
498,Brachyramphus marmoratus
499,Synthliboramphus antiquus
500,Ptychoramphus aleuticus
501,Aethia cristatella
502,Fratercula corniculata
503,Fratercula cirrhata
504,Asio flammeus
505,Lanius excubitor
506,Melospiza melodia
507,Calcarius lapponicus
508,Plectrophenax
509,Corvus corax
510,Aethia psittacula
511,Anthus rubescens
512,Bubo scandiacus
513,Cinclus mexicanus
